1001,,Cloth Cap
1002,,Cloth Veil
1003,,Cloth Choker
1004,,Cloth Shirt
1005,,Cloth Shawl
1006,,Cloth Cape
1007,,Cloth Cord
1008,,Cloth Sleeves
1009,,Cloth Wristband
1010,,Cloth Gloves
1011,,Cloth Pants
1012,,Cloth Sandals
1013,,Small Cloth Cap
1014,,Small Cloth Veil
1015,,Small Cloth Choker
1016,,Small Cloth Shirt
1017,,Small Cloth Shawl
1018,,Small Cloth Cape
1019,,Small Cloth Cord
1020,,Small Cloth Sleeves
1021,,Small Cloth Wristband
1022,,Small Cloth Gloves
1023,,Small Cloth Pants
1024,,Small Cloth Sandals
1025,,Large Cloth Cap
1026,,Large Cloth Veil
1027,,Large Cloth Choker
1028,,Large Cloth Shirt
1029,,Large Cloth Shawl
1030,,Large Cloth Cape
1031,,Large Cloth Cord
1032,,Large Cloth Sleeves
1033,,Large Cloth Wristband
1034,,Large Cloth Gloves
1035,,Large Cloth Pants
1036,,Large Cloth Sandals
1037,,Fur Lined Shoes
1038,,Tattered Cloth Sandal
1039,,Large Cloth Kilt
1040,,Iron Torque
1041,,Worthless Coin
1042,,Large Iron Torque
1043,,Small Iron Torque
1044,,Velium Round Shield
1045,,Rodrick's Head
1046,,Shackle key
1047,,Note from Corbin
1048,,Black Leather Cloak
1049,,Brown Leather Gloves
1050,,Rat Fur Cap
1051,,Rat Pelt Cape
1052,,Snake Fang Necklace
1053,,Rat's Foot Necklace
1054,,Used Merchants Gloves
1055,,Shawl of the Wind Spirit
1056,,Faded Cloak
1057,,Mystic Cloak
1058,,Alliance Robe Yellow
1059,,Alliance Robe Blue
1060,,Teir`Dal Robe Red
1061,,Fishbone Necklace
1062,,Kerran Fishingpole
1063,,Kerran Tribal Headband
1064,,Trakanasaur Hide Tunic
1065,,Trakanasaur Hide Leggings
1066,,Trakanasaur Hide Sleeves
1067,,Trakanasaur Hide Gloves
1068,,Holy Dirt of Brell
1069,,Fiery Jewel of the Underfoot
1070,,Speckled Granite Pebble
1071,,Living Heart of a Brell Minion
1072,,Blood Flecked Obsidian Shard
1073,,Dulled Silver Paineel Earring
1074,,Ruined Heretic Longsword
1075,,Cracked Paineel Shield
1076,,Ruined Sword Hilt
1077,,Gold lined heretic cloak
1078,,Fuzzknuckle Foothairs
1080,,Mithril Studded Skullcap
1081,,Mithril Studded Mask
1082,,Mithril Studded Gorget
1083,,Mithril Studded Tunic
1084,,Mithril Studded Shoulderpads
1085,,Mithril Studded Cloak
1086,,Mithril Studded Belt
1087,,Mithril Studded Sleeves
1088,,Mithril Studded Wristbands
1089,,Mithril Studded Gloves
1090,,Mithril Studded Leggings
1091,,Mithril Studded Boots
1092,,Chief Ry`Gorr's Head
1093,,Marching Orders
1094,,Dirk of the Traitor
1095,,Case of Tunarean Crests
1097,,Frostwrath
1098,,Phase Spider Carapace
1099,,Mithril Boots
1100,,Mithril Gauntlets
1101,,Netted Cap
1102,,Netted Mask
1103,,Netted Choker
1104,,Netted Shirt
1105,,Netted Mantle
1106,,Netted Cape
1107,,Netted Girth
1108,,Netted Sleeves
1109,,Netted Wristband
1110,,Netted Gloves
1111,,Netted Pants
1112,,Mithril Helm
1113,,Orb of the Crimson Bull
1114,,Shawl of Perception
1115,,Blood of Dragonkind
1116,,Ebony Headband
1117,,Velketor's Spell Book
1120,,Erudehide Tunic
1121,,Woven Cap
1122,,Woven Mask
1123,,Woven Collar
1124,,Woven Tunic
1125,,Woven Mantle
1126,,Woven Cape
1127,,Woven Girth
1128,,Woven Sleeves
1129,,Woven Wristbands
1130,,Woven Gloves
1131,,Woven Leggings
1132,,Tinker Wrench
1133,,Shield of the Clawed Guardian
1134,,Writ of Dragonkind
1135,,Mask of Tinkering
1136,,Smolder
1137,,Shroud of Longevity
1138,,White Resistance Stone
1139,,Blue Resistance Stone
1140,,Red Resistance Stone
1141,,Mesh Helm
1142,,Mesh Mask
1143,,Mesh Gorget
1144,,Mesh Tunic
1145,,Mesh Mantle
1146,,Mesh Cape
1147,,Mesh Girth
1148,,Mesh Armbands
1149,,Mesh Bracers
1150,,Mesh Gauntlets
1151,,Mesh Leggings
1152,,Green Resistance Stone
1153,,Dainty Gloves
1154,,Sceptre of Destruction
1155,,Sylvani Leaf
1156,,Staff of the Morning Dew
1157,,Dragon Scaled Mask
1158,,Salindrite Dagger
1159,,Kerran Headband
1160,,Raw Silk Headband
1161,,Raw Silk Mask
1162,,Raw Silk Collar
1163,,Raw Silk Robe
1164,,Raw Silk Mantle
1165,,Raw Silk Cloak
1166,,Raw Silk Sash
1167,,Raw Silk Sleeves
1168,,Raw Silk Wristbands
1169,,Raw Silk Gloves
1170,,Raw Silk Leggings
1171,,Raw Silk Sandals
1172,,Clawed Guardian Bracer
1173,,Staff of the Elder Claws
1174,,Preserved Kromrif Heads
1175,,Burlap Coldain Prayer Shawl
1176,,Cloth Coldain Prayer Shawl
1177,,Woven Coldain Prayer Shawl
1178,,Fur-Lined Coldain Prayer Shawl
1179,,Silk Coldain Prayer Shawl
1180,,Cured Silk Headband
1181,,Cured Silk Mask
1182,,Cured Silk Collar
1183,,Cured Silk Gi
1184,,Cured Silk Mantle
1185,,Cured Silk Cloak
1186,,Cured Silk Sash
1187,,Cured Silk Sleeves
1188,,Cured Silk Wristbands
1189,,Cured Silk Handwraps
1190,,Cured Silk Leggings
1191,,Cured Silk Sandals
1192,,Wu's Fighting Gauntlets
1193,,Burynai Legion Gi
1194,,Mountain Death Belt
1195,,Woven Cord of Mistletoe
1196,,Woven Vine Wristband
1197,,Maple Leaf Mask
1198,,Embroidered Coldain Prayer Shawl
1199,,Runed Coldain Prayer Shawl
1200,,Blessed Coldain Prayer Shawl
1201,,Shiverback-hide Jerkin
1202,,Shiverback-hide Armbands
1203,,Shiverback-hide Wristbands
1204,,Shiverback-hide Gloves
1205,,Shiverback-hide Leggings
1206,,Shiverback-hide Boots
1207,,Helm of the Tracker
1208,,Gloves of Earthcrafting
1209,,Natures Defender
1210,,Gnoll Fur Patch
1211,,Cryosilk Cap
1212,,Cryosilk Veil
1213,,Cryosilk Choker
1214,,Cryosilk Robe
1215,,Cryosilk Amice
1216,,Cryosilk Cloak
1217,,Cryosilk Sash
1218,,Cryosilk Sleeves
1219,,Cryosilk Bracelet
1220,,Cryosilk Gloves
1221,,Cryosilk Pantaloons
1222,,Cryosilk Lined Shoes
1223,,Symbol of Tunarian Worship
1224,,Chord of Vines
1225,,Carmine Turban
1226,,Carmine Robe
1227,,Carmine Sleeves
1228,,Carmine Trinket
1229,,Carmine Gloves
1230,,Carmine Pants
1231,,Carmine Boots
1232,,Blighted Skullcap
1233,,Blighted Robe
1234,,Blighted Sleeves
1235,,Blighted Armband
1236,,Blighted Gloves
1237,,Blighted Trousers
1238,,Blighted Boots
1239,,Apothic Crown
1240,,Apothic Robe
1241,,Apothic Sleeves
